angle,torque
2.2660,-0.5983
-0.2664,-0.5249
-2.2055,-0.5339
-4.1447,-0.5401
-6.4903,-0.4942
-8.2536,-0.5260
-10.5608,-0.4856
-12.5054,-0.4913
-14.8565,-0.4426
-16.9879,-0.4242
-19.1302,-0.4043
-21.1133,-0.4078
-23.2282,-0.3923
-25.4090,-0.3662
-27.5074,-0.3538
-27.5019,-0.3538
-26.8208,-0.1725
-24.2389,-0.2515
-22.4811,-0.2177
-20.1410,-0.2655
-18.1524,-0.2633
-16.0375,-0.2793
-13.8952,-0.2999
-11.9670,-0.2906
-10.0224,-0.2812
-7.6768,-0.3297
-5.7432,-0.3203
-3.5898,-0.3406
-1.4585,-0.3590
0.4807,-0.3514
2.8098,-0.3979
4.5237,-0.3560
6.6880,-0.3794
8.8304,-0.3993
10.7256,-0.3849
12.8844,-0.4078
14.8400,-0.3995
16.9604,-0.4173
19.1028,-0.4373
20.9320,-0.4124
22.9590,-0.4176
22.9590,-0.4176
22.4701,-0.6273
20.3333,-0.6081
18.4161,-0.6188
16.3616,-0.6121
14.2852,-0.5996
12.3626,-0.6130
10.2092,-0.5900
8.2756,-0.6015
6.1167,-0.5788
3.9909,-0.5596
2.2715,-0.5984
-0.2664,-0.5249
-2.2110,-0.5318
-4.1447,-0.5407
-6.4903,-0.4920
-8.4239,-0.5040
-10.5608,-0.4857
-12.5109,-0.4911
-14.8565,-0.4430
-16.9879,-0.4231
-19.1302,-0.4050
-21.1133,-0.4077
-23.2282,-0.3921
-25.3980,-0.3687
-27.5019,-0.3539
-27.5019,-0.3541
-26.8153,-0.1718
-24.2389,-0.2513
-22.4921,-0.2166
-20.1410,-0.2649
-18.1579,-0.2628
-16.0375,-0.2800
-13.8952,-0.2999
-11.9670,-0.2902
-10.0224,-0.2814
-7.6713,-0.3297
-5.7432,-0.3198
-3.5953,-0.3421
-1.4530,-0.3591
0.4807,-0.3511
2.8153,-0.3978
4.5237,-0.3574
6.6880,-0.3791
8.8304,-0.3998
10.7256,-0.3858
12.8899,-0.4078
14.8455,-0.4016
16.9549,-0.4171
19.1028,-0.4371
20.9210,-0.4119
22.9590,-0.4175
22.9590,-0.4173
22.4701,-0.6273
20.3333,-0.6081
18.4161,-0.6183
16.3397,-0.6083
14.2742,-0.6005
12.3626,-0.6127
10.2092,-0.5912
8.2811,-0.6000
6.1167,-0.5788
3.9854,-0.5593
2.2660,-0.5983
-0.2719,-0.5250
-2.2110,-0.5325
-4.1447,-0.5404
-6.4958,-0.4922
-8.4184,-0.5039
-10.5553,-0.4860
-12.5109,-0.4911
-14.8565,-0.4434
-16.9879,-0.4240
-19.1302,-0.4052
-21.1133,-0.4071
-23.2282,-0.3928
-25.3925,-0.3687
-27.5019,-0.3541
-27.5074,-0.3542
